"rmarstat","rage","persinc2","rmany","rsect","tunionsa","ansseca","shourswk","ssuper"
1,20,NA,NA,NA,2,9,NA,NA
3,60,NA,1,1,2,4,24,2
3,24,50700,NA,NA,2,5,1,2
1,79,11960,NA,1,2,7,NA,NA
2,68,6760,NA,NA,2,5,1,2
2,33,24700,NA,2,1,3,40,2
6,73,10920,NA,NA,2,9,NA,NA
1,58,8840,NA,NA,2,5,NA,NA
2,45,29900,2,1,1,4,37,2
2,65,6760,10,1,1,6,NA,NA
1,26,10920,20,2,2,3,NA,NA
1,43,11960,7,2,1,3,NA,NA
1,48,22100,NA,1,2,4,NA,NA
2,38,20280,NA,2,2,3,38,2
2,55,48100,7,1,1,2,43,1
2,42,19240,100,1,1,3,39,1
2,25,NA,7,1,2,3,1,NA
1,28,13000,2,1,2,3,NA,NA
2,38,5720,NA,NA,2,10,NA,NA
2,68,4420,20,1,2,2,NA,NA
2,71,5720,NA,2,2,8,NA,NA
1,30,7800,NA,2,NA,7,NA,NA
1,22,9880,NA,2,2,7,NA,NA
2,60,8840,NA,1,2,4,1,1
2,71,6760,16,1,2,6,NA,NA
5,46,27300,NA,1,2,6,NA,NA
1,88,5720,NA,1,2,7,NA,NA
2,74,19240,NA,NA,1,9,NA,NA
5,63,22100,NA,1,1,3,NA,NA
5,55,5720,NA,NA,2,10,NA,NA
2,21,3900,1,1,1,7,32,2
5,47,NA,NA,NA,NA,9,NA,NA
2,58,9880,NA,NA,1,5,30,2
1,29,35100,NA,1,1,4,NA,NA
6,86,NA,20,2,2,3,NA,NA
3,30,29900,14,2,2,3,39,2
5,33,10920,NA,2,2,7,NA,NA
5,80,NA,NA,1,1,7,NA,NA
2,67,NA,NA,2,1,8,NA,NA
2,61,45500,NA,NA,2,5,1,1
1,38,7800,NA,NA,2,5,NA,NA
5,60,20280,12,1,1,2,NA,NA
6,63,NA,NA,1,1,8,NA,NA
2,63,20280,6,1,1,4,37,2
2,57,NA,6,3,2,6,1,2
2,70,NA,0,NA,NA,NA,NA,NA
1,37,22100,NA,2,1,4,NA,NA
2,69,3380,NA,NA,2,5,NA,NA
2,59,29900,NA,2,1,3,1,2
5,53,NA,NA,NA,2,3,NA,NA
2,68,9880,NA,2,1,7,NA,NA
6,75,8840,NA,1,2,7,NA,NA
6,75,16120,7,1,1,3,NA,NA
5,52,20280,2,1,1,4,NA,NA
5,47,10920,2,2,2,4,NA,NA
2,72,20280,NA,NA,1,9,NA,NA
6,82,NA,NA,1,2,8,NA,NA
1,24,2860,8,2,NA,3,NA,NA
2,67,NA,NA,1,1,7,1,1
2,68,NA,NA,1,1,7,NA,NA
1,40,11960,NA,3,2,3,NA,NA
3,38,NA,NA,1,1,3,30,2
1,42,NA,0,NA,2,9,NA,NA
2,61,42900,9,1,1,3,16,2
2,78,35100,12,2,2,3,NA,NA
2,66,8840,12,2,1,4,NA,NA
1,18,NA,NA,NA,2,10,NA,NA
1,62,35100,200,1,1,3,NA,NA
1,73,NA,NA,2,2,7,NA,NA
2,31,NA,NA,NA,2,5,1,NA
2,38,24700,2,3,1,4,30,1
2,70,4420,NA,2,2,4,16,NA
1,20,2340,NA,3,2,3,NA,NA
2,62,6760,20,2,2,6,40,2
2,44,NA,NA,2,2,7,40,NA
2,68,24700,15,2,1,6,NA,NA
2,75,4940,NA,2,1,8,NA,NA
2,33,20280,NA,NA,2,2,37,2
2,64,NA,NA,1,2,8,NA,NA
5,61,17160,NA,2,2,8,NA,NA
1,31,10920,NA,2,2,7,NA,NA
2,47,11960,NA,1,1,4,40,2
1,31,NA,NA,1,1,4,NA,NA
2,40,7800,NA,NA,2,5,40,NA
5,55,10920,48,2,1,6,NA,NA
2,43,14040,NA,2,2,2,39,2
1,23,2860,NA,2,2,8,NA,NA
1,26,15080,NA,NA,2,10,NA,NA
5,67,NA,1,2,2,4,NA,NA
4,55,16120,NA,2,2,3,NA,NA
4,68,7800,NA,2,1,8,NA,NA
1,26,4420,NA,2,2,7,NA,NA
2,31,20280,NA,1,1,4,39,1
6,83,NA,300,2,1,6,NA,NA
1,24,10920,NA,2,2,8,NA,NA
1,68,2860,NA,NA,2,9,NA,NA
2,65,18200,25,1,1,3,1,NA
2,70,15080,NA,NA,1,5,NA,NA
2,42,22100,20,1,1,3,40,NA
2,56,27300,NA,2,1,8,NA,NA
2,37,15080,NA,1,1,4,37,2
6,81,7800,NA,NA,2,9,NA,NA
2,62,NA,6,2,1,4,NA,NA
2,65,14040,10,2,1,3,40,2
2,81,NA,6,1,2,6,NA,NA
2,79,9880,NA,NA,2,9,NA,NA
1,30,NA,NA,2,2,8,NA,NA
6,77,5720,NA,2,2,8,NA,NA
6,75,15080,NA,1,1,7,NA,NA
2,42,NA,NA,1,1,3,48,2
5,74,32500,NA,1,1,2,NA,NA
6,73,NA,0,NA,NA,NA,NA,NA
5,60,14040,NA,1,1,8,NA,NA
2,51,16120,NA,2,1,7,NA,NA
1,38,13000,2,1,1,7,NA,NA
2,35,13000,NA,2,2,7,37,1
6,64,18200,NA,NA,2,2,NA,NA
2,36,22100,NA,1,2,4,40,NA
3,25,9880,NA,1,1,7,37,1
1,46,3900,NA,2,2,8,NA,NA
2,63,22100,20,1,1,6,37,2
2,48,NA,4,1,1,4,1,2
2,30,10920,NA,NA,2,5,40,NA
2,53,NA,5,1,NA,4,48,NA
3,63,NA,NA,NA,1,5,40,2
2,70,14040,3,4,2,4,NA,NA
5,67,16120,NA,4,2,3,NA,NA
5,58,11960,NA,NA,2,5,NA,NA
3,27,10920,NA,2,2,4,40,2
2,69,NA,NA,NA,1,2,7,2
5,54,7800,NA,2,1,8,NA,NA
6,57,8840,NA,2,2,8,NA,NA
1,19,NA,NA,NA,2,10,NA,NA
4,34,15080,NA,2,2,6,NA,NA
3,31,9880,4,2,2,6,NA,2
2,52,27300,8,2,1,6,36,2
1,19,5720,NA,NA,2,9,NA,NA
2,60,5720,NA,1,1,8,39,2
2,51,NA,4,2,2,6,40,NA
2,49,42900,15,2,2,3,20,2
2,31,7800,NA,NA,1,5,1,2
2,50,NA,10,1,2,8,50,1
6,91,10920,NA,NA,2,9,NA,NA
2,72,10920,NA,1,1,7,NA,NA
2,47,16120,NA,NA,1,2,40,1
1,42,27300,NA,2,1,7,NA,NA
5,67,NA,NA,2,2,8,NA,NA
5,59,8840,NA,NA,2,10,NA,NA
2,35,NA,0,NA,2,9,NA,NA
5,55,20280,NA,NA,1,5,NA,NA
1,24,5720,NA,NA,2,10,NA,NA
2,51,16120,NA,2,2,8,16,2
5,62,8840,NA,2,1,7,NA,NA
4,44,32500,NA,1,1,4,NA,NA
2,48,7800,NA,2,1,6,45,2
1,26,35100,NA,2,1,2,NA,NA
6,61,13000,NA,2,1,8,NA,NA
6,87,22100,10,1,1,3,NA,NA
5,42,3900,NA,2,1,8,NA,NA
2,56,42900,NA,NA,1,5,1,2
5,52,1300,NA,1,2,7,NA,NA
2,31,10920,NA,1,1,3,64,1
4,52,5720,NA,1,1,4,NA,NA
1,87,5720,NA,1,1,8,NA,NA
2,42,50700,24,1,1,4,40,2
2,62,22100,7,3,2,6,1,2
1,29,6760,19,2,2,4,NA,NA
2,43,NA,NA,2,2,4,40,NA
1,19,2860,NA,NA,2,9,NA,NA
2,84,13000,12,1,1,6,NA,NA
2,45,15080,NA,1,1,4,37,1
1,36,20280,32,1,2,6,NA,NA
1,22,9880,NA,1,2,4,NA,NA
2,47,75000,14,4,1,2,40,2
2,59,37700,40,1,1,4,16,2
2,50,NA,3,1,1,3,40,NA
2,52,16120,NA,1,2,4,40,NA
6,72,NA,NA,NA,1,9,NA,NA
1,21,NA,NA,NA,2,10,NA,NA
1,30,29900,NA,NA,2,5,NA,NA
2,69,NA,NA,2,2,7,NA,NA
6,78,NA,NA,NA,2,9,NA,NA
6,79,8840,NA,NA,2,9,NA,NA
1,47,NA,NA,1,NA,7,NA,NA
1,61,6760,NA,1,1,8,NA,NA
4,73,NA,NA,NA,2,9,NA,NA
2,63,24700,NA,1,2,4,1,2
2,65,4420,NA,2,2,7,NA,NA
1,19,24700,NA,2,2,3,NA,NA
1,27,27300,NA,2,2,3,NA,NA
2,39,18200,NA,2,2,4,NA,2
1,23,16120,NA,2,1,3,NA,NA
6,85,5720,NA,2,2,8,NA,NA
1,30,8840,NA,2,1,7,NA,NA
1,60,22100,1,1,2,4,NA,NA
1,44,NA,NA,NA,2,9,NA,NA
2,42,75000,1,1,1,3,40,1
2,36,16120,4,2,1,4,40,NA
1,22,13000,NA,1,1,3,NA,NA
2,55,24700,10,1,1,6,NA,NA
6,61,13000,NA,2,2,7,NA,NA
2,31,24700,15,2,2,6,1,NA
2,41,37700,NA,1,1,3,42,2
2,NA,35100,40,1,1,3,NA,NA
2,51,48100,NA,2,1,7,37,NA
2,84,5720,NA,NA,2,5,NA,NA
5,47,7800,NA,NA,2,5,NA,NA
6,92,8840,NA,NA,2,5,NA,NA
2,33,15080,NA,1,1,3,70,NA
1,33,22100,NA,1,1,3,NA,NA
2,32,NA,NA,NA,1,7,18,2
1,20,8840,NA,3,2,4,NA,NA
1,87,6760,NA,NA,2,9,NA,NA
2,60,16120,NA,2,1,4,NA,NA
5,70,NA,NA,2,1,7,NA,NA
1,56,6760,NA,2,2,9,NA,NA
1,65,NA,5,3,2,3,NA,NA
1,42,NA,NA,NA,2,9,NA,NA
2,33,32500,3,2,1,3,36,1
2,62,5720,NA,2,1,3,38,1
4,39,11960,NA,1,1,8,NA,NA
2,55,NA,NA,1,1,7,48,1
1,45,4420,NA,1,2,7,NA,NA
1,41,11960,NA,2,2,8,NA,NA
2,66,17160,NA,NA,1,9,50,NA
1,27,15080,NA,2,2,8,NA,NA
2,47,24700,4,1,1,3,NA,1
2,27,2860,NA,NA,2,5,35,1
2,72,7800,NA,NA,2,5,NA,NA
1,48,13000,NA,NA,2,5,NA,NA
6,83,NA,NA,2,2,8,NA,NA
2,57,NA,NA,1,1,3,1,NA
3,52,NA,NA,NA,1,8,40,NA
1,79,NA,NA,NA,2,6,NA,NA
5,49,NA,NA,2,1,3,NA,NA
1,38,9880,NA,1,2,4,NA,NA
2,68,9880,NA,NA,2,5,NA,NA
4,68,NA,NA,2,2,7,NA,NA
2,56,22100,NA,2,1,3,39,1
2,71,NA,NA,NA,1,5,NA,NA
5,60,32500,NA,NA,1,5,NA,NA
2,54,75000,50,2,1,3,1,2
1,NA,NA,NA,NA,2,9,NA,NA
2,28,NA,NA,2,2,7,40,NA
