"rmarstat","rage","persinc2","rmany","rsect","tunionsa","ansseca","shourswk","ssuper"
1,30,5720,NA,NA,2,9,NA,NA
2,74,NA,15,2,1,3,NA,1
6,90,NA,NA,NA,2,9,NA,NA
5,35,17160,NA,2,1,3,NA,NA
5,58,NA,NA,2,2,8,NA,NA
6,63,10920,4,2,1,6,NA,NA
1,82,9880,NA,2,2,8,NA,NA
1,23,2340,NA,2,2,8,NA,NA
2,50,NA,12,2,2,3,25,2
1,30,22100,NA,NA,2,5,NA,NA
6,80,NA,40,1,2,2,NA,NA
6,52,24700,NA,1,2,4,NA,NA
1,50,NA,NA,NA,2,9,NA,NA
5,62,NA,NA,1,1,2,NA,NA
1,34,11960,NA,2,2,3,NA,NA
2,39,13000,NA,1,2,7,50,1
1,20,7800,NA,NA,2,10,NA,NA
2,55,5720,NA,2,2,7,NA,2
1,21,5720,NA,NA,2,10,NA,NA
2,59,NA,NA,2,1,4,1,NA
2,62,2340,NA,1,1,3,70,NA
5,78,8840,NA,NA,1,9,NA,NA
2,55,29900,NA,1,2,4,1,NA
3,27,NA,NA,1,2,4,1,2
2,60,24700,14,3,2,2,4,2
3,22,NA,NA,1,2,7,30,2
4,46,5720,NA,NA,2,7,NA,NA
1,53,22100,NA,2,2,8,NA,NA
1,38,5720,NA,2,1,8,NA,NA
4,47,35100,NA,1,1,2,NA,NA
2,47,18200,10,2,1,6,31,2
2,76,15080,100,2,1,3,NA,NA
4,60,3900,2,1,2,6,NA,NA
5,35,3900,10,3,2,3,NA,NA
2,54,4420,NA,2,2,8,40,2
1,26,11960,NA,NA,2,9,NA,NA
1,25,16120,NA,2,2,4,NA,NA
2,64,NA,NA,NA,2,9,NA,NA
6,78,NA,NA,1,2,3,NA,NA
5,51,NA,NA,NA,2,5,NA,NA
1,37,6760,NA,2,2,7,NA,NA
5,50,9880,NA,1,1,7,NA,NA
2,61,NA,NA,2,1,6,1,2
2,79,2860,NA,NA,2,9,NA,NA
2,72,6760,NA,NA,2,9,NA,NA
1,46,6760,NA,2,2,7,NA,NA
6,64,NA,NA,1,2,7,NA,NA
6,69,6760,NA,2,1,8,NA,NA
1,55,9880,NA,NA,1,5,NA,NA
1,51,NA,NA,1,1,7,NA,NA
3,66,75000,NA,NA,2,5,1,2
1,80,6760,12,2,2,6,NA,NA
2,75,40300,NA,NA,2,2,NA,NA
2,64,NA,112,2,1,3,NA,NA
6,83,5720,NA,1,2,8,NA,NA
4,50,9880,NA,1,1,8,NA,NA
2,65,75000,10,2,2,2,20,NA
2,66,6760,NA,NA,1,9,1,NA
2,23,11960,15,2,2,6,NA,NA
1,18,2340,NA,NA,2,9,NA,NA
4,50,24700,2,1,1,3,NA,NA
1,45,18200,NA,2,2,7,NA,NA
1,27,13000,1,1,1,2,NA,NA
2,73,NA,8,1,2,3,NA,NA
1,37,14040,NA,1,1,4,NA,NA
2,54,NA,NA,1,1,3,37,NA
6,78,5720,NA,2,2,8,NA,NA
1,54,NA,NA,NA,2,5,NA,NA
6,84,NA,NA,NA,2,9,NA,NA
2,58,14040,5,1,1,6,25,2
2,59,11960,4,2,1,4,1,1
2,77,3380,NA,NA,2,9,NA,NA
1,27,13000,NA,2,2,8,NA,NA
2,64,14040,NA,1,1,4,1,NA
6,82,5720,NA,2,2,8,NA,NA
2,58,11960,NA,1,1,4,1,2
6,53,5720,NA,2,1,8,NA,NA
2,43,27300,NA,NA,2,5,50,NA
4,50,3900,0,NA,2,10,NA,NA
6,54,NA,NA,2,2,8,NA,NA
2,26,8840,NA,2,2,8,38,2
2,47,NA,4,2,2,6,38,1
1,35,6760,NA,2,2,7,NA,NA
2,44,5720,NA,1,2,7,NA,NA
2,44,2340,NA,2,2,8,27,NA
6,75,8840,NA,2,1,4,NA,NA
3,38,3900,3,1,1,3,37,1
4,66,4940,NA,1,1,7,NA,NA
6,76,4420,NA,1,2,8,NA,NA
2,38,48100,NA,2,2,3,35,1
3,23,10920,NA,2,2,4,35,2
1,35,75000,344,2,2,3,NA,NA
2,43,13000,3,1,1,3,38,2
2,30,10920,NA,1,2,8,37,2
1,24,15080,NA,2,2,3,NA,NA
2,46,2340,NA,2,2,8,25,2
1,37,NA,NA,NA,2,9,NA,NA
1,22,6760,NA,1,2,3,NA,NA
6,94,NA,NA,NA,2,9,NA,NA
1,47,14040,NA,2,1,8,NA,NA
2,57,NA,NA,NA,2,5,1,NA
2,66,NA,NA,1,1,7,NA,NA
6,76,18200,NA,2,1,7,NA,NA
3,23,13000,NA,2,2,7,1,NA
1,30,22100,NA,2,1,3,NA,NA
6,77,6760,NA,NA,2,9,NA,NA
2,27,9880,NA,2,2,7,40,2
1,27,5720,NA,2,2,8,NA,NA
2,29,NA,NA,1,2,7,40,2
1,23,3380,NA,2,2,7,NA,NA
2,46,4940,NA,2,2,8,1,2
2,39,10920,NA,2,2,7,1,NA
2,71,7800,8,1,1,6,NA,NA
2,31,75000,NA,1,1,2,1,1
3,47,NA,0,NA,NA,9,NA,NA
6,76,NA,40,1,1,2,NA,NA
2,56,NA,NA,2,2,4,NA,NA
1,33,NA,NA,1,2,8,NA,NA
1,27,11960,NA,2,2,7,NA,NA
2,44,NA,10,2,1,6,37,1
2,45,27300,NA,2,1,4,1,NA
2,36,45500,16,1,1,2,36,2
1,38,13000,NA,2,2,8,NA,NA
4,74,6760,NA,2,2,8,NA,NA
2,60,11960,NA,NA,2,5,40,NA
1,20,2860,NA,NA,2,9,NA,NA
2,63,18200,2,2,2,3,NA,NA
2,70,6760,NA,2,1,8,NA,NA
1,47,5720,NA,NA,2,10,NA,NA
2,65,3380,NA,NA,2,9,NA,NA
2,35,NA,NA,NA,NA,10,40,NA
2,74,32500,100,1,1,4,NA,NA
4,34,48100,NA,2,2,4,NA,NA
5,50,14040,2,1,2,6,NA,NA
NA,33,8840,2,2,2,6,NA,NA
1,29,20280,15,1,1,3,NA,NA
2,81,15080,NA,2,2,7,NA,NA
4,52,29900,10,1,1,4,NA,NA
2,45,5720,2,2,1,6,1,1
2,65,NA,NA,2,1,6,NA,NA
6,69,NA,NA,2,2,4,NA,NA
1,21,9880,NA,NA,2,10,NA,NA
2,35,NA,NA,NA,2,5,1,2
5,71,29900,NA,1,2,8,NA,NA
3,23,3380,NA,2,2,7,40,1
1,42,3380,6,1,2,4,NA,NA
1,43,6760,NA,2,2,4,NA,NA
1,25,14040,NA,2,2,4,NA,NA
6,89,6760,NA,2,2,5,NA,NA
1,92,NA,NA,NA,2,9,NA,NA
1,59,4420,NA,NA,2,5,NA,NA
2,32,35100,7,1,1,4,40,NA
2,41,27300,NA,2,2,8,35,2
2,56,45500,NA,NA,1,5,36,1
1,34,22100,2,2,2,6,NA,NA
2,31,15080,NA,NA,2,5,45,1
4,51,6760,NA,2,2,8,NA,NA
1,30,14040,NA,2,2,7,NA,NA
5,59,NA,NA,NA,2,7,NA,NA
6,73,35100,NA,NA,2,9,NA,NA
2,51,15080,NA,2,2,8,40,2
1,28,24700,NA,2,2,2,NA,NA
5,45,3900,NA,2,2,7,NA,NA
1,29,11960,NA,2,2,3,NA,NA
1,31,9880,NA,NA,2,10,NA,NA
2,33,40300,70,2,2,8,40,1
6,76,11960,NA,1,1,8,NA,NA
1,70,18200,NA,NA,1,9,NA,NA
2,35,7800,NA,2,2,9,40,2
3,72,45500,NA,NA,2,2,35,NA
2,50,27300,25,1,1,3,40,1
2,43,NA,NA,NA,2,5,50,NA
2,38,19240,5,2,2,6,40,2
2,31,27300,3,1,1,3,45,1
2,68,NA,NA,NA,2,5,NA,NA
2,39,20280,NA,1,1,7,40,2
1,25,19240,2,2,2,6,NA,NA
2,32,NA,NA,2,2,7,40,1
5,33,NA,NA,NA,2,5,NA,NA
2,54,18200,NA,NA,1,5,37,1
1,26,13000,NA,NA,2,10,NA,NA
1,75,NA,NA,NA,2,9,NA,NA
6,80,16120,NA,1,2,7,NA,NA
5,77,6760,NA,1,2,4,NA,NA
2,56,NA,2,1,2,4,NA,NA
2,38,15080,NA,2,2,7,1,NA
2,28,6760,15,2,2,6,25,2
2,45,24700,NA,1,1,7,36,2
2,51,NA,NA,1,2,8,1,NA
5,54,NA,NA,1,2,8,NA,NA
2,68,8840,20,1,1,3,NA,NA
1,35,29900,NA,1,1,3,NA,NA
6,84,NA,NA,2,2,4,NA,NA
1,28,9880,NA,1,2,8,NA,NA
2,45,NA,NA,NA,2,5,1,2
2,42,75000,22,2,2,4,22,2
1,42,NA,NA,1,1,3,NA,NA
2,51,1300,20,1,1,4,55,NA
1,20,8840,3,2,2,4,NA,NA
2,67,NA,NA,2,2,6,NA,NA
1,57,16120,12,2,1,6,NA,NA
6,84,NA,NA,2,1,8,NA,NA
2,55,27300,3,2,2,3,27,2
4,48,NA,NA,1,1,3,NA,NA
6,83,NA,NA,NA,2,9,NA,NA
2,27,20280,2,2,NA,6,16,NA
1,63,10920,NA,NA,2,9,NA,NA
2,40,15080,NA,1,2,4,50,NA
2,63,15080,NA,1,1,4,NA,NA
3,27,11960,NA,2,2,4,40,2
2,37,NA,3,1,2,6,NA,NA
2,52,48100,NA,1,2,3,40,NA
2,52,24700,NA,2,1,6,30,1
3,36,22100,NA,2,2,7,60,NA
2,41,35100,NA,1,1,2,38,2
1,28,10920,NA,1,2,8,NA,NA
1,20,2860,NA,2,2,8,NA,NA
5,69,8840,NA,2,2,8,NA,NA
2,46,9880,NA,2,2,7,40,NA
6,65,8840,NA,1,2,7,NA,NA
6,67,NA,NA,NA,2,9,NA,NA
5,68,7800,NA,2,2,4,NA,NA
2,78,8840,NA,1,1,7,NA,NA
2,44,NA,NA,2,1,7,37,1
1,19,NA,NA,NA,2,10,NA,NA
2,74,6760,NA,NA,2,9,NA,NA
2,55,NA,NA,2,1,4,20,2
6,89,NA,NA,NA,2,5,NA,NA
4,42,22100,1,2,2,3,NA,NA
1,21,2860,NA,2,2,8,NA,NA
2,42,4940,NA,1,2,7,40,2
2,30,11960,2,1,1,3,35,2
2,36,32500,NA,2,1,8,35,1
2,75,32500,17,1,1,2,NA,NA
4,62,10920,NA,NA,2,10,NA,NA
2,80,3900,NA,NA,1,9,NA,NA
3,21,NA,NA,2,NA,8,NA,NA
1,30,1820,NA,2,2,7,NA,NA
3,30,14040,20,4,1,3,NA,NA
2,56,260,2,1,1,4,1,2
1,20,4940,3,2,1,6,NA,NA
2,39,NA,23,2,2,2,39,NA
2,75,5720,NA,2,1,8,NA,NA
5,63,18200,NA,2,2,7,NA,NA
2,38,NA,40,2,1,3,25,2
2,30,37700,NA,2,2,3,35,2
2,32,NA,NA,2,2,4,37,2
2,37,9880,NA,NA,2,10,40,2
4,57,6760,NA,2,2,8,NA,NA
2,33,6760,NA,1,2,7,40,NA
2,30,NA,NA,1,1,4,NA,NA
2,80,9880,NA,2,2,7,NA,NA
2,31,16120,NA,2,2,8,40,2
2,62,NA,NA,1,1,4,38,1
3,36,11960,NA,NA,1,7,NA,2
1,20,6760,NA,2,2,4,NA,NA
6,67,NA,NA,NA,1,8,NA,NA
1,84,NA,NA,2,2,8,NA,NA
6,66,5720,NA,NA,2,5,NA,NA
2,36,13000,NA,2,2,7,NA,1
2,56,37700,3,2,1,4,1,2
2,25,NA,NA,1,2,7,NA,2
1,26,9880,NA,2,2,7,NA,NA
2,43,NA,NA,NA,2,5,40,NA
2,52,16120,12,1,1,6,1,2
2,28,27300,2,2,2,2,42,1
3,24,NA,NA,2,2,4,1,NA
2,44,20280,NA,2,2,8,20,2
1,91,NA,NA,2,2,7,NA,NA
2,66,27300,35,1,1,2,16,2
1,28,20280,NA,1,1,3,NA,NA
2,39,NA,NA,NA,2,5,1,1
2,45,NA,NA,3,2,3,40,NA
2,66,6760,3,1,1,3,NA,NA
6,67,9880,NA,2,1,7,NA,NA
6,75,3380,10,2,2,7,NA,NA
2,36,780,NA,2,2,8,NA,NA
6,61,14040,NA,1,1,8,NA,NA
2,34,14040,4,2,2,7,1,1
1,52,22100,30,3,1,4,NA,NA
1,59,NA,NA,2,2,5,NA,NA
2,57,NA,NA,NA,2,5,20,2
3,30,18200,NA,2,1,8,40,2
2,69,NA,NA,NA,1,9,NA,NA
3,39,17160,NA,NA,1,8,20,2
2,39,37700,23,2,2,3,28,2
1,33,4940,18,2,2,3,NA,NA
1,35,19240,NA,1,1,2,NA,NA
1,32,13000,NA,2,2,4,NA,NA
2,40,27300,5,2,2,3,1,2
6,97,7800,NA,2,2,8,NA,NA
2,72,11960,NA,2,2,6,NA,NA
4,40,37700,NA,2,1,2,NA,NA
2,42,32500,35,2,1,7,30,NA
1,54,13000,3,2,2,4,NA,NA
1,29,9880,NA,2,2,7,NA,NA
3,38,10920,NA,1,1,4,40,2
2,50,5720,NA,2,2,7,40,2
6,84,4940,NA,2,2,8,NA,NA
1,27,19240,NA,1,1,2,NA,NA
3,26,NA,NA,NA,2,10,NA,NA
2,27,NA,NA,2,2,8,40,2
2,38,NA,NA,2,2,7,40,1
2,40,32500,NA,1,1,3,20,1
4,51,19240,NA,2,1,4,NA,NA
5,61,32500,NA,1,1,4,NA,NA
5,56,NA,NA,NA,2,5,NA,NA
1,24,NA,NA,2,2,7,NA,NA
2,31,15080,NA,2,1,8,40,2
1,47,4940,5,2,2,8,NA,NA
2,35,22100,11,2,2,3,40,1
5,64,NA,NA,2,1,8,NA,NA
2,47,NA,20,1,1,2,50,NA
2,75,NA,NA,NA,1,5,1,NA
1,21,1820,NA,NA,2,9,NA,NA
2,47,NA,NA,NA,2,9,1,NA
1,55,NA,0,NA,NA,NA,NA,NA
1,31,7800,NA,NA,2,10,NA,NA
NA,55,NA,0,NA,NA,NA,NA,NA
6,80,NA,NA,1,1,3,NA,NA
2,66,18200,NA,NA,2,5,6,2
2,31,32500,12,2,2,2,8,NA
4,52,4940,NA,2,2,8,NA,NA
6,77,24700,NA,NA,1,9,NA,NA
4,49,14040,NA,2,2,7,NA,NA
1,20,10920,NA,2,2,8,NA,NA
1,30,40300,NA,2,2,7,NA,NA
1,44,15080,NA,2,2,7,NA,NA
2,33,5720,1,2,2,6,10,2
2,44,75000,5,1,2,3,40,NA
1,43,32500,NA,1,1,2,NA,NA
2,38,29900,4,2,2,2,35,1
6,71,16120,NA,NA,2,5,NA,NA
1,22,14040,10,2,2,6,NA,NA
5,70,7800,NA,2,2,4,NA,NA
1,19,3900,NA,NA,2,9,NA,NA
2,55,10920,NA,2,1,3,40,NA
1,49,16120,NA,2,2,8,NA,NA
1,47,27300,1,4,2,2,NA,NA
2,84,NA,NA,NA,2,9,NA,NA
2,73,35100,15,2,1,6,NA,NA
2,55,3900,NA,1,2,5,1,NA
1,25,10920,NA,2,1,8,NA,NA
1,28,75000,NA,2,1,3,NA,NA
2,42,780,NA,2,2,8,NA,NA
2,40,NA,NA,NA,2,5,37,2
5,38,13000,50,1,1,6,NA,NA
3,41,29900,NA,2,1,6,40,2
2,47,24700,NA,1,2,4,40,2
1,49,19240,NA,2,1,4,NA,NA
2,50,32500,10,1,1,3,NA,NA
4,58,14040,30,1,1,6,NA,NA
1,18,13000,NA,2,2,7,NA,NA
5,47,22100,NA,NA,2,5,NA,NA
2,29,NA,NA,1,2,7,30,2
5,58,NA,NA,NA,2,10,NA,NA
5,61,6760,NA,1,2,8,NA,NA
2,41,6760,NA,1,2,7,60,NA
1,29,22100,NA,1,1,3,NA,NA
1,50,NA,NA,1,2,4,NA,NA
2,36,42900,3,2,2,3,37,2
2,45,24700,12,2,1,3,40,2
1,24,NA,NA,1,1,4,NA,NA
6,71,NA,NA,NA,2,5,NA,NA
2,44,32500,NA,NA,2,10,1,NA
1,31,NA,NA,2,2,8,NA,NA
5,54,11960,NA,1,1,3,NA,NA
1,59,7800,2,1,2,3,NA,NA
2,54,NA,NA,NA,2,5,1,NA
5,48,NA,NA,2,2,4,NA,NA
2,56,NA,NA,1,2,4,50,NA
1,39,2860,NA,2,2,7,NA,NA
1,36,29900,NA,2,2,4,NA,NA
2,45,22100,NA,1,1,3,36,1
1,73,8840,NA,NA,2,9,NA,NA
2,76,20280,NA,NA,2,9,NA,NA
4,70,3380,NA,NA,2,9,NA,NA
6,86,11960,NA,NA,2,9,NA,NA
6,87,7800,NA,NA,2,9,NA,NA
6,71,9880,NA,2,2,4,NA,NA
1,32,2860,NA,NA,2,10,NA,NA
2,51,NA,5,3,1,6,28,1
3,27,14040,10,2,2,3,37,2
2,37,27300,4,2,2,6,26,2
6,82,NA,NA,2,1,4,NA,NA
5,56,16120,NA,1,1,8,NA,NA
2,45,NA,0,NA,NA,NA,NA,NA
2,49,37700,13,1,1,6,45,1
1,24,4420,NA,NA,2,9,NA,NA
2,73,24700,NA,1,2,4,NA,NA
6,78,9880,NA,NA,2,9,NA,NA
5,48,22100,NA,2,1,8,NA,NA
2,35,6760,NA,NA,2,10,1,NA
2,59,NA,NA,NA,2,5,1,NA
2,68,NA,NA,1,1,7,NA,NA
1,26,8840,NA,NA,2,10,NA,NA
3,34,17160,NA,1,2,8,30,NA
1,27,5720,NA,NA,2,10,NA,NA
1,74,14040,NA,1,1,2,NA,NA
1,32,9880,NA,1,2,8,NA,NA
6,47,17160,NA,NA,2,5,NA,NA
2,51,27300,40,2,2,6,1,2
2,44,75000,2,2,2,3,35,2
2,38,13000,NA,2,2,7,50,NA
2,35,NA,NA,NA,2,5,18,2
2,42,45500,1,1,1,3,60,NA
1,23,17160,3,2,2,2,NA,NA
2,36,40300,NA,1,1,3,37,1
2,64,NA,NA,2,2,4,37,1
1,39,13000,NA,1,1,7,NA,NA
3,35,3380,NA,2,2,8,40,2
2,67,13000,NA,1,1,7,NA,NA
2,57,NA,NA,NA,2,5,1,NA
5,40,11960,NA,1,1,3,NA,NA
1,22,4940,NA,2,2,7,NA,NA
2,42,32500,8,2,2,6,NA,NA
6,81,4420,NA,1,2,8,NA,NA
2,69,16120,NA,1,2,6,1,NA
2,40,19240,NA,NA,2,5,10,2
5,65,7800,NA,NA,2,9,NA,NA
3,45,NA,NA,NA,2,10,1,NA
1,49,7800,NA,NA,1,4,NA,NA
5,45,10920,NA,NA,2,10,NA,NA
1,21,NA,NA,NA,1,5,NA,NA
2,60,16120,NA,1,1,2,NA,NA
2,88,NA,NA,NA,2,9,NA,NA
2,69,NA,NA,1,1,6,NA,NA
3,27,NA,1,2,2,6,24,2
1,50,2860,NA,2,2,7,NA,NA
2,75,NA,5,1,2,3,NA,NA
2,47,18200,NA,2,1,7,35,1
2,28,NA,NA,4,2,4,1,NA
1,29,NA,NA,2,2,8,NA,NA
5,49,37700,34,2,2,3,NA,NA
5,56,NA,NA,2,1,8,NA,NA
2,56,48100,5,1,1,3,40,1
2,46,NA,2,NA,1,6,1,2
2,83,7800,NA,1,2,3,NA,NA
2,27,NA,NA,2,NA,7,37,NA
1,18,NA,NA,NA,2,10,NA,NA
2,44,7800,NA,NA,2,5,10,2
2,42,4420,2,2,2,4,40,2
5,73,NA,NA,NA,2,9,NA,NA
2,33,9880,1,2,1,6,40,1
2,39,NA,NA,3,2,4,40,1
NA,18,NA,NA,NA,2,10,NA,NA
6,42,13000,NA,2,2,4,NA,NA
5,58,24700,NA,NA,2,2,NA,NA
2,40,18200,6,1,2,4,NA,2
2,47,NA,NA,NA,1,5,37,2
2,38,29900,NA,1,1,3,37,2
1,21,4420,NA,NA,2,10,NA,NA
2,71,NA,150,1,2,2,NA,NA
2,47,8840,NA,1,2,4,50,2
2,35,22100,NA,NA,2,5,40,2
1,27,NA,10,3,2,6,NA,NA
5,66,16120,6,2,2,4,NA,NA
2,38,15080,NA,2,1,8,40,2
4,42,13000,NA,2,2,7,NA,NA
1,38,27300,8,2,2,3,NA,NA
5,48,NA,NA,2,2,7,NA,NA
2,44,6760,NA,NA,2,10,1,NA
6,76,NA,NA,NA,2,9,NA,NA
6,70,16120,NA,NA,1,9,NA,NA
1,74,13000,2,1,1,4,NA,NA
1,42,24700,NA,NA,2,5,NA,NA
6,86,NA,6,1,2,3,NA,NA
6,84,7800,NA,2,1,8,NA,NA
1,52,35100,NA,NA,2,5,NA,NA
2,58,27300,12,2,1,4,22,2
2,37,16120,2,2,2,8,40,NA
2,62,32500,NA,NA,2,5,20,2
2,52,NA,20,2,1,7,1,2
4,56,10920,NA,NA,2,10,NA,NA
1,21,6760,NA,2,2,4,NA,NA
2,54,17160,NA,1,2,7,60,NA
2,64,32500,NA,1,2,3,NA,NA
6,81,11960,NA,1,1,3,NA,NA
4,63,10920,NA,2,2,4,NA,NA
1,20,NA,NA,NA,2,10,NA,NA
6,46,24700,2,1,1,3,NA,NA
2,45,15080,3,2,2,4,60,NA
1,18,6760,NA,NA,2,7,NA,NA
2,34,20280,NA,NA,1,5,37,2
2,40,260,NA,2,2,8,40,2
6,86,NA,NA,NA,2,9,NA,NA
2,54,NA,50,1,2,3,30,NA
3,23,5720,NA,1,1,8,20,2
2,52,11960,NA,2,2,4,40,2
2,39,16120,NA,NA,2,5,50,NA
2,62,24700,NA,1,1,7,1,2
2,23,NA,NA,4,NA,NA,37,2
2,53,260,NA,2,2,7,1,1
2,56,27300,20,1,1,3,30,2
2,38,27300,NA,1,1,4,45,NA
4,42,10920,NA,2,2,4,NA,NA
3,24,NA,NA,NA,2,5,1,NA
2,31,29900,NA,2,1,4,37,1
2,35,NA,NA,NA,2,5,1,NA
3,39,NA,NA,2,2,8,1,2
6,82,24700,50,2,2,4,NA,NA
1,36,NA,NA,1,2,7,NA,NA
6,73,5720,NA,1,2,8,NA,NA
2,56,16120,NA,NA,1,5,37,1
2,48,7800,NA,2,2,8,38,2
2,75,7800,NA,NA,2,5,NA,NA
3,37,8840,NA,2,2,8,1,NA
2,65,29900,2,1,1,3,NA,NA
2,32,15080,NA,2,2,7,1,NA
6,91,NA,NA,NA,1,9,NA,NA
4,45,3900,2,2,2,6,NA,NA
3,47,29900,24,2,2,6,45,2
2,36,15080,NA,1,2,4,37,1
5,54,NA,NA,NA,2,5,NA,NA
2,34,24700,2,2,2,3,40,1
1,51,5720,NA,NA,2,10,NA,NA
2,53,8840,NA,2,1,4,40,1
1,33,7800,NA,2,1,4,NA,NA
1,18,2340,NA,1,2,7,NA,NA
1,32,NA,NA,NA,2,9,NA,NA
5,57,5720,NA,NA,2,10,NA,NA
1,32,17160,NA,2,1,7,NA,NA
2,42,32500,6,2,2,3,40,NA
2,45,11960,NA,1,1,4,40,2
2,40,NA,NA,2,1,2,40,2
5,53,10920,60,2,2,3,NA,NA
6,79,NA,NA,NA,2,5,NA,NA
2,72,7800,NA,2,2,8,NA,NA
2,66,NA,NA,NA,2,2,NA,NA
2,80,NA,NA,NA,2,5,NA,NA
2,73,NA,NA,2,2,8,NA,NA
5,73,4940,NA,2,2,7,NA,NA
2,43,NA,NA,1,2,7,NA,NA
2,37,6760,NA,1,1,4,38,2
2,54,9880,NA,1,1,7,NA,NA
2,34,13000,NA,1,1,3,37,2
2,30,48100,3,2,2,2,40,2
1,20,20280,NA,2,2,7,NA,NA
5,41,16120,NA,1,1,7,NA,NA
1,31,20280,NA,1,2,2,NA,NA
5,45,27300,NA,2,1,8,NA,NA
1,36,11960,NA,2,2,7,NA,NA
2,80,5720,NA,1,2,8,NA,NA
1,25,4940,NA,1,2,8,NA,NA
1,20,NA,NA,NA,2,10,NA,NA
2,82,NA,NA,NA,2,5,NA,NA
1,30,10920,NA,2,1,3,NA,NA
1,39,22100,NA,2,1,4,NA,NA
1,30,10920,NA,1,1,2,NA,NA
2,30,15080,NA,1,1,4,50,2
2,43,45500,10,1,1,3,35,1
6,65,10920,6,1,1,7,NA,NA
1,44,37700,NA,1,1,3,NA,NA
1,32,9880,NA,2,2,7,NA,NA
5,67,13000,NA,NA,1,9,NA,NA
2,55,NA,NA,1,1,8,37,2
2,25,15080,NA,NA,2,5,40,NA
1,38,8840,NA,2,2,8,NA,NA
1,23,9880,NA,2,2,8,NA,NA
2,62,NA,NA,2,2,4,1,1
2,45,32500,30,1,1,3,16,2
2,49,75000,NA,2,1,3,NA,2
6,76,7800,NA,NA,1,9,NA,NA
